"con","cg","WUPALMER","PATH","INTRINSIC_LIN","INTRINSIC_PATH","INTRINSIC_LCH","PAGERANK","con","cg","WUPALMER","PATH","INTRINSIC_LIN","INTRINSIC_PATH","INTRINSIC_LCH","PAGERANK","WUPALMER.PATH","WUPALMER.INTRINSIC_LIN","WUPALMER.INTRINSIC_PATH","WUPALMER.INTRINSIC_LCH","WUPALMER.PAGERANK","PATH.INTRINSIC_LIN","PATH.INTRINSIC_PATH","PATH.INTRINSIC_LCH","PATH.PAGERANK","INTRINSIC_LIN.INTRINSIC_PATH","INTRINSIC_LIN.INTRINSIC_LCH","INTRINSIC_LIN.PAGERANK","INTRINSIC_PATH.INTRINSIC_LCH","INTRINSIC_PATH.PAGERANK","INTRINSIC_LCH.PAGERANK"
"UMNSRS_similarity","sct-umls",0.208505036740886,0.228830952777586,0.222262641610479,0.226825510623898,0.36495393683216,-0.000603345598809387,"UMNSRS_similarity","sct-umls",0.208505036740886,0.228830952777586,0.222262641610479,0.226825510623898,0.36495393683216,-0.000603345598809387,0.720217356503324,0.80873502052036,0.746938379977375,0.00412139755138812,0.000370187943276923,0.90756531871522,0.971689541958656,0.0120543536608612,8.90496634620153e-05,0.935743594872928,0.0086227642061584,0.000143225420971005,0.0108953169162197,0.000103111248981547,1.28285604361622e-10
"UMNSRS_similarity","sct-msh",0.301728922298716,0.297763328148077,0.319779541949614,0.321627355746778,0.374135643878611,0.0747456247529992,"UMNSRS_similarity","sct-msh",0.301728922298716,0.297763328148077,0.319779541949614,0.321627355746778,0.374135643878611,0.0747456247529992,0.941724276923504,0.737444783711959,0.711534661805327,0.169913479203843,7.2302057488205e-05,0.683022701076428,0.657839063241232,0.148293716201704,9.80054300840916e-05,0.972433189806769,0.29962269658568,1.67878493599893e-05,0.316012342360943,1.43539303860685e-05,9.24034961879983e-08
"UMNSRS_similarity","sct-msh-csp-aod",0.329033268581624,0.324391506370911,0.333630624753490,0.336849405433756,0.384573297269723,0.0921644691611197,"UMNSRS_similarity","sct-msh-csp-aod",0.329033268581624,0.324391506370911,0.333630624753490,0.336849405433756,0.384573297269723,0.0921644691611197,0.9305237923237,0.930952395147939,0.882745958325861,0.285391752659623,2.87647966925597e-05,0.861997118639809,0.81446101357149,0.247897466321709,4.20630753086293e-05,0.95148464703680,0.326277799914184,1.95755563350275e-05,0.357156757297254,1.48757447064884e-05,1.51015822957845e-07
"UMNSRS_similarity","umls",0.388757884802791,0.403953559522064,0.426803096378786,0.430249054855216,0.460012874863192,0.249118294572369,"UMNSRS_similarity","umls",0.388757884802791,0.403953559522064,0.426803096378786,0.430249054855216,0.460012874863192,0.249118294572369,0.762284758367049,0.443775165606822,0.402786271005593,0.144415695780468,0.00892091643723214,0.64311208153271,0.59322144507643,0.247247354749824,0.00352790949282422,0.943539751779584,0.487864588611080,0.000722478111678804,0.533358370977867,0.00055701415910403,4.60909111590357e-05
"UMNSRS_relatedness","sct-umls",0.139098347637156,0.166810699203099,0.157250227677192,0.163356894326190,0.299035853140697,-0.00660206580721807,"UMNSRS_relatedness","sct-umls",0.139098347637156,0.166810699203099,0.157250227677192,0.163356894326190,0.299035853140697,-0.00660206580721807,0.627727554869484,0.751128098014269,0.67137940125349,0.00399507401180624,0.0122367760597182,0.866759831861731,0.951620280651736,0.0166829038836418,0.00278822723256811,0.91470695453703,0.0104251788089456,0.00476665961677192,0.0141161200235359,0.00339510803884879,7.29327496173937e-08
"UMNSRS_relatedness","sct-msh",0.206873203085766,0.201672638310911,0.223173360442023,0.232161470363435,0.311812079238843,0.0352166026395118,"UMNSRS_relatedness","sct-msh",0.206873203085766,0.201672638310911,0.223173360442023,0.232161470363435,0.311812079238843,0.0352166026395118,0.926112326507602,0.77025010530075,0.649804260066726,0.0542362881312456,0.00283777267217800,0.700396725280116,0.584535826189654,0.0436244082597007,0.00382739159572121,0.871316587768403,0.102490693371451,0.00104978352661322,0.141315328693427,0.00058425642012283,9.12018369048084e-07
"UMNSRS_relatedness","sct-msh-csp-aod",0.241429285774536,0.221655446615250,0.247881379794896,0.257643781170382,0.330801616543601,0.0452554875814292,"UMNSRS_relatedness","sct-msh-csp-aod",0.241429285774536,0.221655446615250,0.247881379794896,0.257643781170382,0.330801616543601,0.0452554875814292,0.721052871935928,0.906643331454697,0.767626655566846,0.095912629413284,0.000593050250404126,0.635267811419861,0.514057548031787,0.0431709138634875,0.00208590069049364,0.858560208908558,0.121688004190713,0.000382247228838617,0.170836823750659,0.000191286975587346,3.40059819192717e-07
"UMNSRS_relatedness","umls",0.323551886550776,0.342016833594095,0.349782265349588,0.353512752974829,0.386383204553133,0.183278304747271,"UMNSRS_relatedness","umls",0.323551886550776,0.342016833594095,0.349782265349588,0.353512752974829,0.386383204553133,0.183278304747271,0.722708476747927,0.613156634118007,0.56305187537831,0.219004690490731,0.0102511459600281,0.880187594141642,0.823167328069884,0.381934366224236,0.0034770009592493,0.942011684618816,0.469307470175395,0.00212051101295296,0.515133876059596,0.00165772029703293,0.000146800933814362
"MayoSRS","sct-umls",0.0476049976004017,0.0348414654535019,0.0935628350561178,0.124072455183113,0.297289453118182,0.00287014029915007,"MayoSRS","sct-umls",0.0476049976004017,0.0348414654535019,0.0935628350561178,0.124072455183113,0.297289453118182,0.00287014029915007,0.928686113389662,0.746412012987964,0.58952924304583,0.0699370182481686,0.753979808785268,0.679700364677719,0.529338331941213,0.0571951609899599,0.822836686597998,0.828875239990587,0.136502020858840,0.524274653858683,0.203089013138599,0.393706796435824,0.0335270484321923
"MayoSRS","sct-msh",0.275623622753003,0.217761609283286,0.321704667332200,0.328823158650970,0.354028104357353,0.128462851582383,"MayoSRS","sct-msh",0.275623622753003,0.217761609283286,0.321704667332200,0.328823158650970,0.354028104357353,0.128462851582383,0.666146937327173,0.723148425188539,0.68182099420418,0.542051571898778,0.281774542082365,0.432045455096573,0.400111790394084,0.297803307396252,0.518992367825511,0.955560614113797,0.798368291946038,0.152546126514066,0.84168856708528,0.137194230111826,0.0917851896426383
