"con","cg","WUPALMER","PATH","INTRINSIC_LIN","INTRINSIC_PATH","INTRINSIC_LCH","PAGERANK_ppr","PAGERANK_ppr_hier","con","cg","WUPALMER","PATH","INTRINSIC_LIN","INTRINSIC_PATH","INTRINSIC_LCH","PAGERANK_ppr","PAGERANK_ppr_hier","WUPALMER.PATH","WUPALMER.INTRINSIC_LIN","WUPALMER.INTRINSIC_PATH","WUPALMER.INTRINSIC_LCH","WUPALMER.PAGERANK_ppr","WUPALMER.PAGERANK_ppr_hier","PATH.INTRINSIC_LIN","PATH.INTRINSIC_PATH","PATH.INTRINSIC_LCH","PATH.PAGERANK_ppr","PATH.PAGERANK_ppr_hier","INTRINSIC_LIN.INTRINSIC_PATH","INTRINSIC_LIN.INTRINSIC_LCH","INTRINSIC_LIN.PAGERANK_ppr","INTRINSIC_LIN.PAGERANK_ppr_hier","INTRINSIC_PATH.INTRINSIC_LCH","INTRINSIC_PATH.PAGERANK_ppr","INTRINSIC_PATH.PAGERANK_ppr_hier","INTRINSIC_LCH.PAGERANK_ppr","INTRINSIC_LCH.PAGERANK_ppr_hier","PAGERANK_ppr.PAGERANK_ppr_hier"
"UMNSRS_similarity","sct-umls",0.208505036740886,0.228830952777586,0.222262641610479,0.226825510623898,0.36495393683216,-0.000603345598809387,0.232641062343882,"UMNSRS_similarity","sct-umls",0.208505036740886,0.228830952777586,0.222262641610479,0.226825510623898,0.36495393683216,-0.000603345598809387,0.232641062343882,0.720217356503324,0.80873502052036,0.746938379977375,0.00412139755138812,0.000370187943276923,0.67033445575685,0.90756531871522,0.971689541958656,0.0120543536608612,8.90496634620153e-05,0.946167171457126,0.935743594872928,0.0086227642061584,0.000143225420971005,0.854303121343027,0.0108953169162197,0.000103111248981547,0.917954986169894,1.28285604361622e-10,0.0145645892623141,6.71507774534899e-05
"UMNSRS_similarity","sct-msh",0.301728922298716,0.297763328148077,0.319779541949614,0.321627355746778,0.374135643878611,0.0747456247529992,0.332859697918903,"UMNSRS_similarity","sct-msh",0.301728922298716,0.297763328148077,0.319779541949614,0.321627355746778,0.374135643878611,0.0747456247529992,0.332859697918903,0.941724276923504,0.737444783711959,0.711534661805327,0.169913479203843,7.2302057488205e-05,0.561336788926467,0.683022701076428,0.657839063241232,0.148293716201704,9.80054300840916e-05,0.513137631558537,0.972433189806769,0.29962269658568,1.67878493599893e-05,0.805977922580831,0.316012342360943,1.43539303860685e-05,0.832839444987304,9.24034961879983e-08,0.428579481398925,5.37895095530766e-06
"UMNSRS_similarity","umls",0.388757884802791,0.403953559522064,0.426803096378786,0.430249054855216,0.460012874863192,0.249118294572369,0.411146849927018,"UMNSRS_similarity","umls",0.388757884802791,0.403953559522064,0.426803096378786,0.430249054855216,0.460012874863192,0.249118294572369,0.411146849927018,0.762284758367049,0.443775165606822,0.402786271005593,0.144415695780468,0.00892091643723214,0.65472286311776,0.64311208153271,0.59322144507643,0.247247354749824,0.00352790949282422,0.884924889179014,0.943539751779584,0.487864588611080,0.000722478111678804,0.750012367783986,0.533358370977867,0.00055701415910403,0.696947253751451,4.60909111590357e-05,0.311379211984921,0.00219657270961805
"UMNSRS_relatedness","sct-umls",0.139098347637156,0.166810699203099,0.157250227677192,0.163356894326190,0.299035853140697,-0.00660206580721807,0.166000300878664,"UMNSRS_relatedness","sct-umls",0.139098347637156,0.166810699203099,0.157250227677192,0.163356894326190,0.299035853140697,-0.00660206580721807,0.166000300878664,0.627727554869484,0.751128098014269,0.67137940125349,0.00399507401180624,0.0122367760597182,0.637865461643156,0.866759831861731,0.951620280651736,0.0166829038836418,0.00278822723256811,0.98863653006965,0.91470695453703,0.0104251788089456,0.00476665961677192,0.877977886289633,0.0141161200235359,0.00339510803884879,0.962967756715872,7.29327496173937e-08,0.0160461089832225,0.00292104411353907
"UMNSRS_relatedness","sct-msh",0.206873203085766,0.201672638310911,0.223173360442023,0.232161470363435,0.311812079238843,0.0352166026395118,0.228068677332262,"UMNSRS_relatedness","sct-msh",0.206873203085766,0.201672638310911,0.223173360442023,0.232161470363435,0.311812079238843,0.0352166026395118,0.228068677332262,0.926112326507602,0.77025010530075,0.649804260066726,0.0542362881312456,0.00283777267217800,0.703807466686968,0.700396725280116,0.584535826189654,0.0436244082597007,0.00382739159572121,0.63626806900457,0.871316587768403,0.102490693371451,0.00104978352661322,0.929766930092001,0.141315328693427,0.00058425642012283,0.941131103109604,9.12018369048084e-07,0.122404624386748,0.000765516165150102
"UMNSRS_relatedness","umls",0.323551886550776,0.342016833594095,0.349782265349588,0.353512752974829,0.386383204553133,0.183278304747271,0.334876496411758,"UMNSRS_relatedness","umls",0.323551886550776,0.342016833594095,0.349782265349588,0.353512752974829,0.386383204553133,0.183278304747271,0.334876496411758,0.722708476747927,0.613156634118007,0.56305187537831,0.219004690490731,0.0102511459600281,0.828175693990847,0.880187594141642,0.823167328069884,0.381934366224236,0.0034770009592493,0.890398946294553,0.942011684618816,0.469307470175395,0.00212051101295296,0.772940437403462,0.515133876059596,0.00165772029703293,0.717895748422553,0.000146800933814362,0.311472491343384,0.0053646289462019
"MayoSRS","sct-umls",0.0476049976004017,0.0348414654535019,0.0935628350561178,0.124072455183113,0.297289453118182,0.00287014029915007,0.172612348229463,"MayoSRS","sct-umls",0.0476049976004017,0.0348414654535019,0.0935628350561178,0.124072455183113,0.297289453118182,0.00287014029915007,0.172612348229463,0.928686113389662,0.746412012987964,0.58952924304583,0.0699370182481686,0.753979808785268,0.375068728834735,0.679700364677719,0.529338331941213,0.0571951609899599,0.822836686597998,0.328808362243352,0.828875239990587,0.136502020858840,0.524274653858683,0.572995832184973,0.203089013138599,0.393706796435824,0.728215306057129,0.0335270484321923,0.354810152504592,0.229978240537116
"MayoSRS","sct-msh",0.275623622753003,0.217761609283286,0.321704667332200,0.328823158650970,0.354028104357353,0.128462851582383,0.43684123638461,"MayoSRS","sct-msh",0.275623622753003,0.217761609283286,0.321704667332200,0.328823158650970,0.354028104357353,0.128462851582383,0.43684123638461,0.666146937327173,0.723148425188539,0.68182099420418,0.542051571898778,0.281774542082365,0.194402420226759,0.432045455096573,0.400111790394084,0.297803307396252,0.518992367825511,0.0837898982043654,0.955560614113797,0.798368291946038,0.152546126514066,0.345470713372232,0.84168856708528,0.137194230111826,0.374709854743372,0.0917851896426383,0.491483258665995,0.0175962316659020
"MayoSRS","umls",0.377821776542504,0.295286721213277,0.39291827281234,0.405694865085063,0.440377422192653,0.212140488585672,0.456024843612207,"MayoSRS","umls",0.377821776542504,0.295286721213277,0.39291827281234,0.405694865085063,0.440377422192653,0.212140488585672,0.456024843612207,0.514287209111744,0.90122719610288,0.817691091008072,0.598694575037539,0.202403998345852,0.507105033607229,0.437579008624478,0.377402524335736,0.238615112325567,0.533576553547647,0.188332232943287,0.91526148368038,0.687560785414595,0.161859895515430,0.589720626522875,0.767411050228579,0.132260328686241,0.665133554778435,0.071701139797,0.890972730985761,0.0526129142047093
"MiniMayoSRS_Physicians","sct-umls",0.441719834262303,0.378149755032775,0.409159620385984,0.345095484105365,0.345095484105365,0.194444663632972,0.564635367102457,"MiniMayoSRS_Physicians","sct-umls",0.441719834262303,0.378149755032775,0.409159620385984,0.345095484105365,0.345095484105365,0.194444663632972,0.564635367102457,0.782775146732692,0.885996806530785,0.679726721081403,0.679726721081403,0.317200465632874,0.551305583963812,0.89472100111935,0.890926686615522,0.890926686615522,0.468744679225108,0.383476163575859,0.787572185765954,0.787572185765954,0.391524508702546,0.459799914790311,1,0.556940907660536,0.313146860335097,0.556940907660536,0.313146860335097,0.110481583802429
