"cg","metric","con","spearman","p.value"
"sct-msh","SOKAL","UMNSRS_similarity",0.320341786799942,5.66919434121705e-15
"sct-msh","LCH","UMNSRS_relatedness",0.210770445156903,2.55418263406175e-07
"sct-msh","INTRINSIC_LCH","UMNSRS_relatedness",0.310996466526748,1.25021498649344e-14
"sct-msh","INTRINSIC_LIN","UMNSRS_relatedness",0.226909334638484,2.72065027050764e-08
"sct-msh","PATH","UMNSRS_relatedness",0.210770445156903,2.55418263406175e-07
"sct-msh","INTRINSIC_PATH","UMNSRS_relatedness",0.234968273771048,8.33442200647637e-09
"sct-msh","RADA","UMNSRS_relatedness",0.210770445156903,2.55418263406175e-07
"sct-msh","INTRINSIC_RADA","UMNSRS_relatedness",0.234949916564823,8.35732759583361e-09
"sct-msh","JACCARD","UMNSRS_relatedness",0.226909334638484,2.72065027050764e-08
"sct-msh","SOKAL","UMNSRS_relatedness",0.226934529612479,2.71078999938578e-08
"sct-msh","LCH","MayoSRS",0.218870300397929,0.0278797002924719
"sct-msh","INTRINSIC_LCH","MayoSRS",0.353612372237851,0.000286225491224406
"sct-msh","INTRINSIC_LIN","MayoSRS",0.323094187531233,0.000982489597414112
"sct-msh","PATH","MayoSRS",0.218870300397929,0.0278797002924719
"sct-msh","INTRINSIC_PATH","MayoSRS",0.330317060995914,0.00074208664821069
"sct-msh","RADA","MayoSRS",0.218870300397929,0.0278797002924719
"sct-msh","INTRINSIC_RADA","MayoSRS",0.330317060995914,0.00074208664821069
"sct-msh","JACCARD","MayoSRS",0.323094187531233,0.000982489597414112
"sct-msh","SOKAL","MayoSRS",0.323094187531233,0.000982489597414112
"sct-msh","LCH","MiniMayoSRS_Physicians",0.505565015035588,0.00514698857436784
"sct-msh","INTRINSIC_LCH","MiniMayoSRS_Physicians",0.581331986640147,0.000942188792416097
"sct-msh","INTRINSIC_LIN","MiniMayoSRS_Physicians",0.487592272717911,0.00729665021659843
"sct-msh","PATH","MiniMayoSRS_Physicians",0.505565015035588,0.00514698857436784
"sct-msh","INTRINSIC_PATH","MiniMayoSRS_Physicians",0.486084255379608,0.00750726612501462
