"con","cg","WUPALMER","PATH","INTRINSIC_LIN","INTRINSIC_PATH","INTRINSIC_LCH","con","cg","WUPALMER","PATH","INTRINSIC_LIN","INTRINSIC_PATH","INTRINSIC_LCH","WUPALMER.PATH","WUPALMER.INTRINSIC_LIN","WUPALMER.INTRINSIC_PATH","WUPALMER.INTRINSIC_LCH","PATH.INTRINSIC_LIN","PATH.INTRINSIC_PATH","PATH.INTRINSIC_LCH","INTRINSIC_LIN.INTRINSIC_PATH","INTRINSIC_LIN.INTRINSIC_LCH","INTRINSIC_PATH.INTRINSIC_LCH"
"UMNSRS_similarity","sct-umls",0.208505036740886,0.228830952777586,0.222262641610479,0.226825510623898,0.36495393683216,"UMNSRS_similarity","sct-umls",0.208505036740886,0.228830952777586,0.222262641610479,0.226825510623898,0.36495393683216,0.360108678251662,0.40436751026018,0.373469189988687,0.00206069877569406,0.45378265935761,0.485844770979328,0.00602717683043059,0.467871797436464,0.0043113821030792,0.00544765845810986
"UMNSRS_similarity","msh-umls",0.286817523858156,0.282249399835581,0.287231119184221,0.284188635553175,0.27545331087427,"UMNSRS_similarity","msh-umls",0.286817523858156,0.282249399835581,0.287231119184221,0.284188635553175,0.27545331087427,0.46676846979483,0.49698311130075,0.480849443823564,0.41799135794199,0.463763001671763,0.48589080487195,0.450800518160721,0.47783657882796,0.415040748761844,0.436829324193179
"UMNSRS_similarity","sct-msh-csp-aod",0.329033268581624,0.324391506370911,0.33363062475349,0.336849405433756,0.384573297269723,"UMNSRS_similarity","sct-msh-csp-aod",0.329033268581624,0.324391506370911,0.33363062475349,0.336849405433756,0.384573297269723,0.46526189616185,0.46547619757397,0.441372979162931,0.142695876329812,0.430998559319904,0.407230506785745,0.123948733160854,0.475742323518399,0.163138899957092,0.178578378648627
"UMNSRS_similarity","umls",0.388757884802791,0.403953559522064,0.426803096378786,0.430249054855216,0.460012874863192,"UMNSRS_similarity","umls",0.388757884802791,0.403953559522064,0.426803096378786,0.430249054855216,0.460012874863192,0.381142379183525,0.221887582803411,0.201393135502796,0.0722078478902339,0.321556040766355,0.296610722538215,0.123623677374912,0.471769875889792,0.24393229430554,0.266679185488933
"UMNSRS_relatedness","sct-umls",0.139098347637156,0.166810699203099,0.157250227677192,0.16335689432619,0.299035853140697,"UMNSRS_relatedness","sct-umls",0.139098347637156,0.166810699203099,0.157250227677192,0.16335689432619,0.299035853140697,0.313863777434742,0.375564049007135,0.335689700626745,0.00199753700590312,0.433379915930866,0.475810140325868,0.0083414519418209,0.457353477268515,0.0052125894044728,0.00705806001176794
"UMNSRS_relatedness","msh-umls",0.176200405231312,0.167340255586546,0.205032773844763,0.201527506768814,0.246763891027119,"UMNSRS_relatedness","msh-umls",0.176200405231312,0.167340255586546,0.205032773844763,0.201527506768814,0.246763891027119,0.438013978408974,0.304568169879894,0.326778334223944,0.103313560301754,0.252286083874795,0.272644937109719,0.0779639609557722,0.475090313123942,0.226149500102465,0.207803077687381
"UMNSRS_relatedness","sct-msh-csp-aod",0.241429285774536,0.22165544661525,0.247881379794896,0.257643781170382,0.330801616543601,"UMNSRS_relatedness","sct-msh-csp-aod",0.241429285774536,0.22165544661525,0.247881379794896,0.257643781170382,0.330801616543601,0.360526435967964,0.453321665727349,0.383813327783423,0.047956314706642,0.31763390570993,0.257028774015893,0.0215854569317437,0.429280104454279,0.0608440020953565,0.0854184118753294
"UMNSRS_relatedness","umls",0.323551886550776,0.342016833594095,0.349782265349588,0.353512752974829,0.386383204553133,"UMNSRS_relatedness","umls",0.323551886550776,0.342016833594095,0.349782265349588,0.353512752974829,0.386383204553133,0.361354238373964,0.306578317059004,0.281525937689155,0.109502345245366,0.440093797070821,0.411583664034942,0.190967183112118,0.471005842309408,0.234653735087698,0.257566938029798
"MayoSRS","sct-umls",0.0476049976004017,0.0348414654535019,0.0935628350561178,0.124072455183113,0.297289453118182,"MayoSRS","sct-umls",0.0476049976004017,0.0348414654535019,0.0935628350561178,0.124072455183113,0.297289453118182,0.464343056694831,0.373206006493982,0.294764621522915,0.0349685091240843,0.339850182338859,0.264669165970606,0.02859758049498,0.414437619995293,0.0682510104294198,0.1015445065693
"MayoSRS","msh-umls",0.122201531170858,0.139023639395686,0.133743609566676,0.133846657126621,0.231734080057135,"MayoSRS","msh-umls",0.122201531170858,0.139023639395686,0.133743609566676,0.133846657126621,0.231734080057135,0.452320176576209,0.467267398945549,0.46697537910672,0.214051806344949,0.484979060410053,0.48527187222096,0.250588366480275,0.49970698451517,0.238758995753255,0.238986739966438
"MayoSRS","sct-msh-csp-aod",0.379508224051286,0.346627724322577,0.364614085397014,0.376736639513781,0.39537881179296,"MayoSRS","sct-msh-csp-aod",0.379508224051286,0.346627724322577,0.364614085397014,0.376736639513781,0.39537881179296,0.395445385102269,0.4518397187404,0.49096959994253,0.447997707041383,0.442695182739361,0.40419006891489,0.346098311736132,0.460816527112153,0.400622406976626,0.439057369168687
"MayoSRS","umls",0.377821776542504,0.295286721213277,0.39291827281234,0.405694865085063,0.440377422192653,"MayoSRS","umls",0.377821776542504,0.295286721213277,0.39291827281234,0.405694865085063,0.440377422192653,0.257143604555872,0.45061359805144,0.408845545504036,0.29934728751877,0.218789504312239,0.188701262167868,0.119307556162784,0.45763074184019,0.343780392707298,0.383705525114289
